seed,configuration,l1_nutrient_loop_enabled,l2_water_loop_enabled,l3_energy_loop_enabled,l4_byproduct_loop_enabled,days,agent_count,milk_l,operating_profit,net_kg_co2e,avoided_kg_co2e,kg_co2e_per_l_milk,freshwater_withdrawal_l,recycled_irrigation_l,electricity_generated_kwh,feed_loop_offset_kg,water_loop_offset_l,synthetic_fertilizer_saved_kg,mean_circularity_score,mean_sustainability_score,whey_l,roi_reported,payback_reported,label
6,0001,False,False,False,True,365,12,711562.322096472,116848.96533191818,134042.6155707933,374964.08170579176,0.18837789945912864,38852497.7,225105.3,0.0,105004.67772183097,0.0,11648.0,0.4123786472140379,54.22425213066064,262922.27801464644,,,Products
7,0001,False,False,False,True,365,12,716943.4529279727,118505.59388218526,134876.57336783645,378347.9285715679,0.18812721256746975,38894110.7,227562.3,0.0,105794.50361711015,0.0,11648.0,0.4125093171342369,54.258449904804834,264910.6058568859,,,Products
8,0001,False,False,False,True,365,12,714807.2635413096,116908.06265548065,134431.7416321412,376697.5679730244,0.1880671175137999,38875438.2,226459.8,0.0,105486.0351590878,0.0,11648.0,0.4124452146378492,54.24310189644431,264121.2838785139,,,Products
9,0001,False,False,False,True,365,12,717616.481304619,118442.84376812485,134772.56693064974,377962.5162030728,0.18780584120035074,38893470.5,227524.49999999997,0.0,105893.93613809446,0.0,11648.0,0.4124949156253875,54.25497561761662,265159.28984205675,,,Products
10,0001,False,False,False,True,365,12,712128.6760582818,116491.80049060452,134210.21912160775,375474.28529356833,0.18846343874884736,38865408.4,225867.59999999998,0.0,105084.9693852433,0.0,11648.0,0.41239747630278084,54.23054874859525,263131.54580353515,,,Products
11,0001,False,False,False,True,365,12,707255.9811611907,115015.45570609126,133682.64754144047,372875.9992003484,0.1890159307270289,38823155.2,223372.8,0.0,104367.87094455044,0.0,11648.0,0.4122958723568667,54.200255109264766,261331.08503905998,,,Products
12,0001,False,False,False,True,365,12,717731.593921123,118914.8212090886,134737.0315689203,377741.8780742257,0.18772620950517555,38887815.4,227190.59999999998,0.0,105912.73780345707,0.0,11648.0,0.41248581562027037,54.24965567895694,265201.82395385497,,,Products
1,1111,True,True,True,True,365,12,715962.0906314467,122704.11807216408,120750.13516361179,391303.86823639594,0.16865436975457115,38727061.660000004,227058.3,69603.0160168014,176179.92282288647,158513.03999999998,11648.0,0.7124743780374387,73.33620421227674,264547.9924883196,,,All loops
2,1111,True,True,True,True,365,12,707090.3417471605,119869.78680480161,119662.04247678038,386321.51246815943,0.16923161781718807,38671304.79,223624.8,68519.84996278865,173768.86089929062,156118.40999999997,11648.0,0.7122798230619276,73.29949051694686,261269.88127557584,,,All loops
3,1111,True,True,True,True,365,12,714453.1369036164,122126.30779860608,120513.43033622384,389956.6479956795,0.16867926545682135,38714582.28,226289.69999999998,69311.4077376347,175658.49808318345,157975.02,11648.0,0.7124217544009742,73.32493464463343,263990.4340858863,,,All loops
4,1111,True,True,True,True,365,12,684534.9646241119,113149.38226585361,117209.05928955252,375639.84389302833,0.17122435718665405,38545568.33,215882.09999999998,66192.24132099639,168092.59677422282,150720.56999999998,11648.0,0.711865192370285,73.22039573269629,252935.66942860937,,,All loops
5,1111,True,True,True,True,365,12,700142.6339523674,117688.49054799727,119093.67267979792,383612.48937797185,0.17009915823509214,38632123.31,221211.9,67927.67281455715,172151.61958254164,154433.78999999998,11648.0,0.712175413092797,73.27804832188166,258702.70324539978,,,All loops
6,1111,True,True,True,True,365,12,711562.322096472,121386.12009191819,120172.61557079332,388834.08170579176,0.16888558013685917,38695342.94,225105.3,69065.9822553354,174990.5309530692,157154.75999999998,11648.0,0.7123786472140379,73.31880146547113,262922.27801464644,,,All loops
7,1111,True,True,True,True,365,12,716943.4529279727,123044.45531218525,121006.57336783643,392217.9285715679,0.168781195886021,38735249.27,227562.3,69800.91101022801,176521.34949329792,158861.42999999996,11648.0,0.7125093171342368,73.34315795842602,264910.6058568859,,,All loops
8,1111,True,True,True,True,365,12,714807.2635413096,121446.16997548065,120561.74163214119,390567.5679730244,0.16866328558953397,38717330.88,226459.8,69443.2249779164,175849.3736705063,158107.31999999998,11648.0,0.7124452146378492,73.3327156911132,264121.2838785139,,,All loops
9,1111,True,True,True,True,365,12,717616.481304619,122981.67873812484,120902.56693064976,391832.5162030728,0.1684779684976719,38734635.53,227524.49999999997,69718.98098226571,176539.1150773366,158834.96999999997,11648.0,0.7124949156253875,73.34089811806058,265159.28984205675,,,All loops
10,1111,True,True,True,True,365,12,712128.6760582818,121029.48004060451,120340.21912160773,389344.28529356833,0.1689866216140956,38707728.85,225867.59999999998,69176.56155931701,175177.59712318055,157679.55,11648.0,0.7123974763027808,73.32304163738364,263131.54580353515,,,All loops
11,1111,True,True,True,True,365,12,707255.9811611907,119551.39771609126,119812.64754144047,386745.9992003484,0.16940492655110395,38667213.19,223372.8,68611.3603218919,173884.33106483263,155942.00999999998,11648.0,0.7122958723568666,73.30100179062572,261331.08503905998,,,All loops
12,1111,True,True,True,True,365,12,717731.593921123,123453.42685908859,120867.0315689203,391611.8780742257,0.16840143668275429,38729209.75,227190.59999999998,69671.80930617916,176506.31315366723,158605.65,11648.0,0.7124858156202704,73.33664466880037,265201.82395385497,,,All loops
