seed,configuration,l1_nutrient_loop_enabled,l2_water_loop_enabled,l3_energy_loop_enabled,l4_byproduct_loop_enabled,days,agent_count,milk_l,operating_profit,net_kg_co2e,avoided_kg_co2e,kg_co2e_per_l_milk,freshwater_withdrawal_l,recycled_irrigation_l,electricity_generated_kwh,feed_loop_offset_kg,water_loop_offset_l,synthetic_fertilizer_saved_kg,mean_circularity_score,mean_sustainability_score,whey_l,roi_reported,payback_reported
42,0000,False,False,False,False,365,12,719778.600663772,40347.616357987696,135080.50575294686,379115.01854507986,0.1876695217506843,38907661.6,228362.4,0.0,0.0,0.0,11648.0,0.2125392738368719,42.26577937708838,0.0,,
42,0001,False,False,False,True,365,12,719778.600663772,119215.5570792189,135080.50575294686,379115.01854507986,0.1876695217506843,38907661.6,228362.4,0.0,106211.8247469167,0.0,11648.0,0.41253927383687194,54.26577937708838,265958.19294526376,,
42,0010,False,False,True,False,365,12,719778.600663772,44727.616357987696,121210.50575294686,392985.01854507986,0.1683997074116511,38907661.6,228362.4,68938.04762444859,0.0,0.0,11648.0,0.5125392738368719,61.348468934527666,0.0,,
42,0011,False,False,True,True,365,12,719778.600663772,123595.5570792189,121210.50575294686,392985.01854507986,0.1683997074116511,38907661.6,228362.4,69969.7823014002,106211.8247469167,0.0,11648.0,0.7125392738368719,73.34846893452766,265958.19294526376,,
42,0100,False,True,False,False,365,12,719778.600663772,40507.03344798769,135080.50575294686,379115.01854507986,0.1876695217506843,38748244.51,228362.4,0.0,0.0,159417.08999999997,11648.0,0.2125392738368719,42.26577937708838,0.0,,
42,0101,False,True,False,True,365,12,719778.600663772,119374.97416921888,135080.50575294686,379115.01854507986,0.1876695217506843,38748244.51,228362.4,0.0,106211.8247469167,159417.08999999997,11648.0,0.41253927383687194,54.26577937708838,265958.19294526376,,
42,0110,False,True,True,False,365,12,719778.600663772,44887.03344798769,121210.50575294686,392985.01854507986,0.1683997074116511,38748244.51,228362.4,68938.04762444859,0.0,159417.08999999997,11648.0,0.5125392738368719,61.348468934527666,0.0,,
42,0111,False,True,True,True,365,12,719778.600663772,123754.97416921888,121210.50575294686,392985.01854507986,0.1683997074116511,38748244.51,228362.4,69969.7823014002,106211.8247469167,159417.08999999997,11648.0,0.7125392738368719,73.34846893452766,265958.19294526376,,
42,1000,True,False,False,False,365,12,719778.600663772,40347.616357987696,135080.50575294686,379115.01854507986,0.1876695217506843,38907661.6,228362.4,0.0,70896.72197533668,0.0,11648.0,0.2125392738368719,42.26577937708838,0.0,,
42,1001,True,False,False,True,365,12,719778.600663772,119215.5570792189,135080.50575294686,379115.01854507986,0.1876695217506843,38907661.6,228362.4,0.0,177108.54672225338,0.0,11648.0,0.41253927383687194,54.26577937708838,265958.19294526376,,
42,1010,True,False,True,False,365,12,719778.600663772,44727.616357987696,121210.50575294686,392985.01854507986,0.1683997074116511,38907661.6,228362.4,68938.04762444859,70896.72197533668,0.0,11648.0,0.5125392738368719,61.348468934527666,0.0,,
42,1011,True,False,True,True,365,12,719778.600663772,123595.5570792189,121210.50575294686,392985.01854507986,0.1683997074116511,38907661.6,228362.4,69969.7823014002,177108.54672225338,0.0,11648.0,0.7125392738368719,73.34846893452766,265958.19294526376,,
42,1100,True,True,False,False,365,12,719778.600663772,40507.03344798769,135080.50575294686,379115.01854507986,0.1876695217506843,38748244.51,228362.4,0.0,70896.72197533668,159417.08999999997,11648.0,0.2125392738368719,42.26577937708838,0.0,,
42,1101,True,True,False,True,365,12,719778.600663772,119374.97416921888,135080.50575294686,379115.01854507986,0.1876695217506843,38748244.51,228362.4,0.0,177108.54672225338,159417.08999999997,11648.0,0.41253927383687194,54.26577937708838,265958.19294526376,,
42,1110,True,True,True,False,365,12,719778.600663772,44887.03344798769,121210.50575294686,392985.01854507986,0.1683997074116511,38748244.51,228362.4,68938.04762444859,70896.72197533668,159417.08999999997,11648.0,0.5125392738368719,61.348468934527666,0.0,,
42,1111,True,True,True,True,365,12,719778.600663772,123754.97416921888,121210.50575294686,392985.01854507986,0.1683997074116511,38748244.51,228362.4,69969.7823014002,177108.54672225338,159417.08999999997,11648.0,0.7125392738368719,73.34846893452766,265958.19294526376,,
